id,title,performers,release_year,file_path,jams_path
rock-corpus_120,My Girl,The Temptations,1964.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_120.jams
rock-corpus_121,Mystery Train,Elvis Presley,1955.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_121.jams
rock-corpus_122,No Woman No Cry,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_122.jams
rock-corpus_123,Norwegian Wood,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_123.jams
rock-corpus_124,Not Fade Away,Buddy Holly and the Crickets,1957.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_124.jams
rock-corpus_125,Nothing Compares 2 U,Sinead O'Connor,1990.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_125.jams
rock-corpus_126,Nuthin' But A G Thang,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_126.jams
rock-corpus_127,One,U2,1991.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_127.jams
rock-corpus_128,Paint It Black,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_128.jams
rock-corpus_129,Papa Was A Rollin' Stone,The Temptations,1972.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_129.jams
rock-corpus_130,Papa's Got A Brand New Bag,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_130.jams
rock-corpus_131,Paranoid Android,Radiohead,1997.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_131.jams
rock-corpus_132,People Get Ready,The Impressions,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_132.jams
rock-corpus_133,"Please, Please, Please",James Brown,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_133.jams
rock-corpus_134,Proud Mary,Creedence Clearwater Revival,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_134.jams
rock-corpus_135,Purple Haze,The Jimi Hendrix Experience,1967.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_135.jams
rock-corpus_136,Purple Rain,Prince,1984.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_136.jams
rock-corpus_137,Rave On,Buddy Holly and the Crickets,1958.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_137.jams
rock-corpus_138,Redemption Song,Bob Marley & The Wailers,1980.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_138.jams
rock-corpus_139,Respect,Aretha Franklin,1967.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_139.jams
rock-corpus_140,Ring Of Fire,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_140.jams
rock-corpus_141,River Deep Mountain High,Ike & Tina Turner,1966.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_141.jams
rock-corpus_142,Rock And Roll Music,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_142.jams
rock-corpus_143,Rock Around The Clock,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_143.jams
rock-corpus_144,Rock Lobster,The B-52's,1979.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_144.jams
rock-corpus_145,Rockin' In The Free World,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_145.jams
rock-corpus_146,Roll Over Beethoven,Chuck Berry,1956.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_146.jams
rock-corpus_147,Sabotage,The Beastie Boys,1994.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_147.jams
rock-corpus_148,Satisfaction,The Rolling Stones,1965.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_148.jams
rock-corpus_149,September Gurls,Big Star,1974.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_149.jams
rock-corpus_150,Shake Rattle And Roll,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_150.jams
rock-corpus_151,She Loves You,The Beatles,1963.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_151.jams
rock-corpus_152,Should I Stay Or Should I Go?,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_152.jams
rock-corpus_153,Shout,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_153.jams
rock-corpus_154,Smells Like Teen Spirit,Nirvana,1991.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_154.jams
rock-corpus_155,Stairway To Heaven,Led Zeppelin,1971.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_155.jams
rock-corpus_156,Stand By Me,Ben E. King,1961.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_156.jams
rock-corpus_157,Strawberry Fields Forever,The Beatles,1967.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_157.jams
rock-corpus_158,Summer Babe,Pavement,1992.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_158.jams
rock-corpus_159,Summertime Blues,Eddie Cochran,1958.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_159.jams
rock-corpus_160,Sunshine Of Your Love,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_160.jams
rock-corpus_161,Superstition,Stevie Wonder,1972.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_161.jams
rock-corpus_162,Suspicious Minds,Elvis Presley,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_162.jams
rock-corpus_163,Sweet Child O' Mine,Guns N' Roses,1987.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_163.jams
rock-corpus_164,Sympathy For The Devil,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_164.jams
rock-corpus_165,Take Me To The River,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_165.jams
rock-corpus_166,Tangled Up In Blue,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_166.jams
rock-corpus_167,Tears In Heaven,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_167.jams
rock-corpus_168,That'll Be The Day,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_168.jams
rock-corpus_169,That's All Right,Elvis Presley,1954.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_169.jams
rock-corpus_170,The Boxer,Simon and Garfunkel,1969.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_170.jams
rock-corpus_171,Dock Of The Bay,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_171.jams
rock-corpus_172,The Message,Grandmaster Flash & the Furious Five,1982.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_172.jams
rock-corpus_173,The Sounds Of Silence,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_173.jams
rock-corpus_174,The Times They Are A-Changin',Bob Dylan,1964.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_174.jams
rock-corpus_175,The Tracks Of My Tears,[],,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_175.jams
rock-corpus_176,The Weight,The Band,1968.0,../../partitions/rock-corpus/raw//files.json,../../partitions/rock-corpus/choco/jams/rock-corpus_176.jams
