id,title,composers,subset,collection,movement,duration,file_path,jams_path
when-in-rome_80,Wenn ich ihn nur habe,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Deutsche und Italiänische Romantische Gesänge,02,15,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Deutsche_und_Italiänische_Romantische_Gesänge/02_Wenn_ich_ihn_nur_habe/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_80.jams
when-in-rome_81,Durch die bunten Rosenhecken,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Deutsche und Italiänische Romantische Gesänge,03,9,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Deutsche_und_Italiänische_Romantische_Gesänge/03_Durch_die_bunten_Rosenhecken/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_81.jams
when-in-rome_82,Ida (aus Ariels Offenbarungen),Louise Reichardt,OpenScore-LiederCorpus,Zwölf Deutsche und Italiänische Romantische Gesänge,10,54,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Deutsche_und_Italiänische_Romantische_Gesänge/10_Ida_(aus_Ariels_Offenbarungen)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_82.jams
when-in-rome_83,Heymdal (aus Ariels Offenbarungen),Louise Reichardt,OpenScore-LiederCorpus,Zwölf Deutsche und Italiänische Romantische Gesänge,12,10,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Deutsche_und_Italiänische_Romantische_Gesänge/12_Heymdal_(aus_Ariels_Offenbarungen)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_83.jams
when-in-rome_84,Nach Sevilla,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,03,21,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/03_Nach_Sevilla/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_84.jams
when-in-rome_85,Erinnrung zum Bach,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,01,12,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/01_Erinnrung_zum_Bach/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_85.jams
when-in-rome_86,Daphne am Bach,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,11,17,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/11_Daphne_am_Bach/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_86.jams
when-in-rome_87,Volkslied,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,07,9,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/07_Volkslied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_87.jams
when-in-rome_88,Für die Laute componirt,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,05,10,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/05_Für_die_Laute_componirt/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_88.jams
when-in-rome_89,Der Spinnerin Nachtlied,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,09,10,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/09_Der_Spinnerin_Nachtlied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_89.jams
when-in-rome_90,Der Sänger geht,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,02,19,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/02_Der_Sänger_geht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_90.jams
when-in-rome_91,Vaters Klage,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,04,10,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/04_Vaters_Klage/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_91.jams
when-in-rome_92,Unruhiger Schlaf,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,06,27,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/06_Unruhiger_Schlaf/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_92.jams
when-in-rome_93,Ein recht Gemüth,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,08,10,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/08_Ein_recht_Gemüth/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_93.jams
when-in-rome_94,Die Veilchen,Louise Reichardt,OpenScore-LiederCorpus,Zwölf Gesänge,10,23,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Zwölf_Gesänge/10_Die_Veilchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_94.jams
when-in-rome_95,"Er besucht den Klostergarten und den Kirchoff, über den letztern findet sich folgendes Gedicht",Louise Reichardt,OpenScore-LiederCorpus,"Sechs Lieder von Novalis, Op.4",6,17,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Sechs_Lieder_von_Novalis,_Op.4/6_Er_besucht_den_Klostergarten_und_den_Kirchoff,_über_den_letztern_findet_sich_folgendes_Gedicht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_95.jams
when-in-rome_96,Noch ein Bergmannslied,Louise Reichardt,OpenScore-LiederCorpus,"Sechs Lieder von Novalis, Op.4",5,9,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Reichardt,_Louise/Sechs_Lieder_von_Novalis,_Op.4/5_Noch_ein_Bergmannslied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_96.jams
when-in-rome_97,À toi,Marie Jaëll,OpenScore-LiederCorpus,4 Mélodies,1,38,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Jaëll,_Marie/4_Mélodies/1_À_toi/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_97.jams
when-in-rome_98,Éternel amour,Marie Jaëll,OpenScore-LiederCorpus,4 Mélodies,2,48,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Jaëll,_Marie/4_Mélodies/2_Éternel_amour/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_98.jams
when-in-rome_99,"Oh, the Summer",Samuel Coleridge-Taylor,OpenScore-LiederCorpus,,,123,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Coleridge-Taylor,_Samuel/_/Oh,_the_Summer/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_99.jams
when-in-rome_100,"Oh, Roses for the flush of youth",Samuel Coleridge-Taylor,OpenScore-LiederCorpus,"6 Sorrow Songs, Op.57",3,60,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57/3_Oh,_Roses_for_the_flush_of_youth/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_100.jams
when-in-rome_101,Unmindful of the Roses,Samuel Coleridge-Taylor,OpenScore-LiederCorpus,"6 Sorrow Songs, Op.57",5,34,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57/5_Unmindful_of_the_Roses/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_101.jams
when-in-rome_102,Oh what comes over the Sea,Samuel Coleridge-Taylor,OpenScore-LiederCorpus,"6 Sorrow Songs, Op.57",1,26,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57/1_Oh_what_comes_over_the_Sea/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_102.jams
when-in-rome_103,Too late for love,Samuel Coleridge-Taylor,OpenScore-LiederCorpus,"6 Sorrow Songs, Op.57",6,79,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57/6_Too_late_for_love/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_103.jams
when-in-rome_104,"When I am dead, my dearest",Samuel Coleridge-Taylor,OpenScore-LiederCorpus,"6 Sorrow Songs, Op.57",2,68,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57/2_When_I_am_dead,_my_dearest/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_104.jams
when-in-rome_105,She sat and sang alway,Samuel Coleridge-Taylor,OpenScore-LiederCorpus,"6 Sorrow Songs, Op.57",4,70,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57/4_She_sat_and_sang_alway/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_105.jams
when-in-rome_106,"Ellens Gesang III, D.839 (Ave Maria)",Franz Schubert,OpenScore-LiederCorpus,Op.52,6,15,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Op.52/6_Ellens_Gesang_III,_D.839_(Ave_Maria)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_106.jams
when-in-rome_107,Trockne Blumen,Franz Schubert,OpenScore-LiederCorpus,"Die schöne Müllerin, D.795",18,57,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Die_schöne_Müllerin,_D.795/18_Trockne_Blumen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_107.jams
when-in-rome_108,Wohin,Franz Schubert,OpenScore-LiederCorpus,"Die schöne Müllerin, D.795",02,79,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Die_schöne_Müllerin,_D.795/02_Wohin/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_108.jams
when-in-rome_109,Das Wandern,Franz Schubert,OpenScore-LiederCorpus,"Die schöne Müllerin, D.795",01,20,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Die_schöne_Müllerin,_D.795/01_Das_Wandern/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_109.jams
when-in-rome_110,Pause,Franz Schubert,OpenScore-LiederCorpus,"Die schöne Müllerin, D.795",12,81,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Die_schöne_Müllerin,_D.795/12_Pause/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_110.jams
when-in-rome_111,Frühlingssehnsucht,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",03,103,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/03_Frühlingssehnsucht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_111.jams
when-in-rome_112,Am Meer,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",12,45,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/12_Am_Meer/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_112.jams
when-in-rome_113,Das Fischermädchen,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",10,71,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/10_Das_Fischermädchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_113.jams
when-in-rome_114,Die Taubenpost,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",14,105,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/14_Die_Taubenpost/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_114.jams
when-in-rome_115,In der Ferne,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",06,115,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/06_In_der_Ferne/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_115.jams
when-in-rome_116,Aufenthalt,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",05,138,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/05_Aufenthalt/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_116.jams
when-in-rome_117,Ihr Bild,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",09,36,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/09_Ihr_Bild/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_117.jams
when-in-rome_118,Der Atlas,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",08,54,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/08_Der_Atlas/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_118.jams
when-in-rome_119,Die Stadt,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",11,39,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/11_Die_Stadt/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_119.jams
when-in-rome_120,Der Doppelgänger,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",13,62,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/13_Der_Doppelgänger/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_120.jams
when-in-rome_121,Liebesbotschaft,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",01,72,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/01_Liebesbotschaft/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_121.jams
when-in-rome_122,Abschied,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",07,165,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/07_Abschied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_122.jams
when-in-rome_123,Kriegers Ahnung,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",02,120,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/02_Kriegers_Ahnung/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_123.jams
when-in-rome_124,Ständchen,Franz Schubert,OpenScore-LiederCorpus,"Schwanengesang, D.957",04,57,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Schwanengesang,_D.957/04_Ständchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_124.jams
when-in-rome_125,"Das Rosenband, D.280",Franz Schubert,OpenScore-LiederCorpus,,,35,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/_/Das_Rosenband,_D.280/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_125.jams
when-in-rome_126,Du bist die Ruh,Franz Schubert,OpenScore-LiederCorpus,Op.59,3,81,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Op.59/3_Du_bist_die_Ruh/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_126.jams
when-in-rome_127,Gute Nacht,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",01,104,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/01_Gute_Nacht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_127.jams
when-in-rome_128,Gefror’ne Thränen,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",03,56,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/03_Gefror’ne_Thränen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_128.jams
when-in-rome_129,Auf dem Flusse,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",07,70,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/07_Auf_dem_Flusse/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_129.jams
when-in-rome_130,Die Kraehe,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",15,43,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/15_Die_Kraehe/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_130.jams
when-in-rome_131,Im Dorfe,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",17,46,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/17_Im_Dorfe/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_131.jams
when-in-rome_132,Die Wetterfahne,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",02,52,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/02_Die_Wetterfahne/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_132.jams
when-in-rome_133,Die Post,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",13,92,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/13_Die_Post/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_133.jams
when-in-rome_134,Der Wegweiser,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",20,82,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/20_Der_Wegweiser/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_134.jams
when-in-rome_135,Letzte Hoffnung,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",16,48,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/16_Letzte_Hoffnung/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_135.jams
when-in-rome_136,Der stuermische Morgen,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",18,19,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/18_Der_stuermische_Morgen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_136.jams
when-in-rome_137,Der Leiermann (Spätere Fassung),Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",24,61,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/24_Der_Leiermann_(Spätere_Fassung)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_137.jams
when-in-rome_138,Der Lindenbaum,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",05,82,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/05_Der_Lindenbaum/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_138.jams
when-in-rome_139,Einsamkeit (Urspruengliche Fassung),Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",12,46,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/12_Einsamkeit_(Urspruengliche_Fassung)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_139.jams
when-in-rome_140,Rast (Spätere Fassung),Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",10,67,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/10_Rast_(Spätere_Fassung)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_140.jams
when-in-rome_141,Der greise Kopf,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",14,44,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/14_Der_greise_Kopf/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_141.jams
when-in-rome_142,Erstarrung,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",04,107,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/04_Erstarrung/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_142.jams
when-in-rome_143,Täuschung,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",19,42,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/19_Täuschung/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_143.jams
when-in-rome_144,Rückblick,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",08,69,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/08_Rückblick/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_144.jams
when-in-rome_145,Wasserfluth,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",06,32,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/06_Wasserfluth/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_145.jams
when-in-rome_146,Frühlingstraum,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",11,87,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/11_Frühlingstraum/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_146.jams
when-in-rome_147,Die Nebensonnen,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",23,33,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/23_Die_Nebensonnen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_147.jams
when-in-rome_148,Irrlicht,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",09,43,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/09_Irrlicht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_148.jams
when-in-rome_149,Muth,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",22,46,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/22_Muth/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_149.jams
when-in-rome_150,Das Wirthshaus,Franz Schubert,OpenScore-LiederCorpus,"Winterreise, D.911",21,31,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/Winterreise,_D.911/21_Das_Wirthshaus/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_150.jams
when-in-rome_151,"Die Sterne, D.939",Franz Schubert,OpenScore-LiederCorpus,"4 Lieder, Op.96",1,186,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Schubert,_Franz/4_Lieder,_Op.96/1_Die_Sterne,_D.939/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_151.jams
when-in-rome_152,Abermals am See,Josephine Lang,OpenScore-LiederCorpus,"6 Lieder, Op.12",3,154,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Lang,_Josephine/6_Lieder,_Op.12/3_Abermals_am_See/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_152.jams
when-in-rome_153,Lied (Immer sich rein kindlich erfreu’n),Josephine Lang,OpenScore-LiederCorpus,"6 Lieder, Op.25",4,64,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Lang,_Josephine/6_Lieder,_Op.25/4_Lied_(Immer_sich_rein_kindlich_erfreu’n)/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_153.jams
when-in-rome_154,Aus der Ferne,Josephine Lang,OpenScore-LiederCorpus,"6 Lieder, Op.13",3,57,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Lang,_Josephine/6_Lieder,_Op.13/3_Aus_der_Ferne/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_154.jams
when-in-rome_155,Wiegenlied,Josephine Lang,OpenScore-LiederCorpus,"6 Lieder, Op.26",1,118,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Lang,_Josephine/6_Lieder,_Op.26/1_Wiegenlied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_155.jams
when-in-rome_156,Abschied,Josephine Lang,OpenScore-LiederCorpus,"6 Lieder, Op.10",6,62,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Lang,_Josephine/6_Lieder,_Op.10/6_Abschied/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_156.jams
when-in-rome_157,Schmetterling,Josephine Lang,OpenScore-LiederCorpus,"3 Lieder, Op.8",1,84,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Lang,_Josephine/3_Lieder,_Op.8/1_Schmetterling/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_157.jams
when-in-rome_158,Die Nacht,Hugo Wolf,OpenScore-LiederCorpus,Eichendorff-Lieder,19,21,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Wolf,_Hugo/Eichendorff-Lieder/19_Die_Nacht/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_158.jams
when-in-rome_159,Waldmädchen,Hugo Wolf,OpenScore-LiederCorpus,Eichendorff-Lieder,20,142,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Wolf,_Hugo/Eichendorff-Lieder/20_Waldmädchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_159.jams
when-in-rome_160,Das Ständchen,Hugo Wolf,OpenScore-LiederCorpus,Eichendorff-Lieder,04,65,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Wolf,_Hugo/Eichendorff-Lieder/04_Das_Ständchen/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_160.jams
when-in-rome_161,Der Scholar,Hugo Wolf,OpenScore-LiederCorpus,Eichendorff-Lieder,13,50,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Wolf,_Hugo/Eichendorff-Lieder/13_Der_Scholar/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_161.jams
when-in-rome_162,Der verzweifelte Liebhaber,Hugo Wolf,OpenScore-LiederCorpus,Eichendorff-Lieder,14,35,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Wolf,_Hugo/Eichendorff-Lieder/14_Der_verzweifelte_Liebhaber/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_162.jams
when-in-rome_163,Unfall,Hugo Wolf,OpenScore-LiederCorpus,Eichendorff-Lieder,15,31,"../../partitions/when-in-rome/raw/OpenScore-LiederCorpus/Wolf,_Hugo/Eichendorff-Lieder/15_Unfall/analysis.txt",../../partitions/when-in-rome/choco/jams/when-in-rome_163.jams
