id,title,artists,duration,mbid,jams_path
weimar_299,Cabin Fever,Michael Brecker,154.49682539682541,,../../partitions/weimar/choco/jams/weimar_299.jams
weimar_300,Confirmation,Michael Brecker,262.89922902494334,cebb75e6-b79c-48e5-89ab-07e8128dfff1,../../partitions/weimar/choco/jams/weimar_300.jams
weimar_301,Delta City Blues,Michael Brecker,83.82244897959183,b5c2f8ea-1bf5-4656-b113-7703c64ccf8c,../../partitions/weimar/choco/jams/weimar_301.jams
weimar_302,I Mean You,Michael Brecker,84.87455782312924,9c67ec3e-9297-4d64-b9fc-70f71395e162,../../partitions/weimar/choco/jams/weimar_302.jams
weimar_303,Midnight Voyage,Michael Brecker,153.8577097505669,7b321d8a-d069-4492-9d49-693c25f9b11d,../../partitions/weimar/choco/jams/weimar_303.jams
weimar_304,Naked Soul,Michael Brecker,166.45278911564625,7d19ca3a-8e57-4850-b1f9-597dc22444b0,../../partitions/weimar/choco/jams/weimar_304.jams
weimar_305,Never Alone,Michael Brecker,90.74693877551022,72d5b67c-3862-4691-a8d7-a95dc8a0993a,../../partitions/weimar/choco/jams/weimar_305.jams
weimar_306,Nothing Personal,Michael Brecker,118.59015873015873,f112a4bc-e042-4529-aa32-06ecd26dcb10,../../partitions/weimar/choco/jams/weimar_306.jams
weimar_307,Peep,Michael Brecker,146.23346938775512,11460e10-d14e-44eb-a3fa-311a6c67c1d1,../../partitions/weimar/choco/jams/weimar_307.jams
weimar_308,Song for Bilbao,Michael Brecker,71.52761904761904,d98d3c5a-a903-45e2-a4cc-77dc50e4f669,../../partitions/weimar/choco/jams/weimar_308.jams
weimar_309,Agitation,Miles Davis,106.0687528344671,994b4131-360f-446e-9834-aab5c6876815,../../partitions/weimar/choco/jams/weimar_309.jams
weimar_310,Airegin,Miles Davis,109.04984126984127,35def392-04d1-45ad-8107-148ab890cb2f,../../partitions/weimar/choco/jams/weimar_310.jams
weimar_311,Bitches Brew,Miles Davis,146.76154195011338,fa340982-56ff-4d4d-9848-017ec8f1c244,../../partitions/weimar/choco/jams/weimar_311.jams
weimar_312,Bitches Brew,Miles Davis,152.6310657596372,fa340982-56ff-4d4d-9848-017ec8f1c244,../../partitions/weimar/choco/jams/weimar_312.jams
weimar_313,Blues by Five,Miles Davis,130.62027210884352,8a88fe10-de8c-4689-9401-e845e1f784d5,../../partitions/weimar/choco/jams/weimar_313.jams
weimar_314,Dolores,Miles Davis,80.48326530612245,3eab13f7-9f2e-4380-9da4-84087be3f499,../../partitions/weimar/choco/jams/weimar_314.jams
weimar_315,E.S.P.,Miles Davis,159.6164172335601,60044ad0-cc9e-4753-9903-bfeaf6e3a12c,../../partitions/weimar/choco/jams/weimar_315.jams
weimar_316,Eighty-One,Miles Davis,125.37650793650795,97a6eead-0558-4681-ba86-b456bfc41752,../../partitions/weimar/choco/jams/weimar_316.jams
