COMPOSER,COLLECTION (where applicable),SONG NUMBER AND TITLE,HUMAN ANALYSIS,LYRICIST,FIRST TS,FIRST KS,URL
"Cornelius, Peter","6 Lieder, Op.5",2 Auf ein schlummerndes Kind,N,Friedrich Hebbel,3/2,-3,https://musescore.com/score/5051349
"Cornelius, Peter","6 Lieder, Op.5",3 Auf eine Unbekannte,N,Friedrich Hebbel,4/4,3,https://musescore.com/score/5051353
"Cornelius, Peter","6 Lieder, Op.5",4 Ode,N,August von Platen,6/8,-2,https://musescore.com/score/5051357
"Cornelius, Peter","6 Lieder, Op.5",5 Zum Ossa sprach der Pelion (Unerhört),N,Annette von Droste-Hülshoff,4/4,0,https://musescore.com/score/5051358
"Cornelius, Peter","6 Lieder, Op.5",6 Auftrag,N,Ludwig Christoph Heinrich Hölty,3/8,2,https://musescore.com/score/5051359
"Cornelius, Peter","An Bertha, Op.15",1 Sei mein!,N,Peter Cornelius,3/4,-2,https://musescore.com/score/5062156
"Cornelius, Peter","An Bertha, Op.15",2 Wie lieb ich dich hab,N,Peter Cornelius,6/8,-1,https://musescore.com/score/5062158
"Cornelius, Peter","An Bertha, Op.15",3 In der Ferne,N,Peter Cornelius,2/4,0,https://musescore.com/score/5062159
"Cornelius, Peter","An Bertha, Op.15",4 Dein Bildnis,N,Peter Cornelius,3/4,1,https://musescore.com/score/5820797
"Cornelius, Peter","Liebeslieder, Op.4",1 In Lust und Schmerzen,N,Peter Cornelius,2/4,-4,https://musescore.com/score/5062136
"Cornelius, Peter","Liebeslieder, Op.4","2 Komm, wir wandeln zusammen",N,Peter Cornelius,3/4,-5,https://musescore.com/score/5062139
"Cornelius, Peter","Liebeslieder, Op.4",3 Möcht' im Walde mit dir geh'n,N,Peter Cornelius,3/4,-2,https://musescore.com/score/5062141
"Cornelius, Peter","Liebeslieder, Op.4",3 Möcht’ im Walde mit dir geh’n,N,Peter Cornelius,3/4,-2,https://musescore.com/score/5062141
"Cornelius, Peter","Trauer und Trost, Op.3",1 Trauer,N,Peter Cornelius,2/4,1,https://musescore.com/score/5043594
"Cornelius, Peter","Trauer und Trost, Op.3",2 Angedenken,N,Peter Cornelius,2/4,2,https://musescore.com/score/5043586
"Cornelius, Peter","Trauer und Trost, Op.3",3 Ein Ton,N,Peter Cornelius,3/4,1,https://musescore.com/score/5045654
"Cornelius, Peter","Trauer und Trost, Op.3",4 An den Traum,N,Peter Cornelius,3/4,2,https://musescore.com/score/5043569
"Cornelius, Peter","Trauer und Trost, Op.3",5 Treue,N,Peter Cornelius,2/4,1,https://musescore.com/score/5043613
"Cornelius, Peter","Trauer und Trost, Op.3",6 Trost,N,Peter Cornelius,4/4,0,https://musescore.com/score/5043618
"Debussy, Claude",Ariettes Oubliées,1 C’est l’extase langoureuse,N,Paul Verlaine,3/8,4,https://musescore.com/score/5060910
"Debussy, Claude",Ariettes Oubliées,2 Il pleure dans mon coeur,N,Paul Verlaine,3/4,5,https://musescore.com/score/5060918
"Debussy, Claude",Ariettes Oubliées,3 L’ombre des arbres,N,Paul Verlaine,3/4,7,https://musescore.com/score/5060924
"Debussy, Claude",Ariettes Oubliées,4 Paysages belges. Chevaux de bois,N,Paul Verlaine,2/4,4,https://musescore.com/score/5060932
"Debussy, Claude",Ariettes Oubliées,5 Aquarelles I. Green,N,Paul Verlaine,6/8,-6,https://musescore.com/score/5060938
"Debussy, Claude",Ariettes Oubliées,6 Aquarelles II. Spleen,N,Paul Verlaine,3/4,-4,https://musescore.com/score/5060943
"Debussy, Claude",Cinq Poëmes de Baudelaire,1 Le Balcon,N,Charles Baudelaire,4/4,0,https://musescore.com/score/5060949
"Debussy, Claude",Cinq Poëmes de Baudelaire,2 Harmonie du Soir,N,Charles Baudelaire,3/4,5,https://musescore.com/score/5060961
"Debussy, Claude",Cinq Poëmes de Baudelaire,3 Le Jet d’Eau,N,Charles Baudelaire,3/4,0,https://musescore.com/score/5060972
"Debussy, Claude",Cinq Poëmes de Baudelaire,4 Recueillement,N,Charles Baudelaire,4/4,4,https://musescore.com/score/5060975
"Debussy, Claude",Cinq Poëmes de Baudelaire,5 La Mort des Amants,N,Charles Baudelaire,3/4,-6,https://musescore.com/score/5060980
"Debussy, Claude",Trois Chansons de Bilitis,1 La flûte de Pan,N,Pierre Louÿs,4/4,5,https://musescore.com/score/5079442
"Debussy, Claude",Trois Chansons de Bilitis,2 La Chevelure,N,Pierre Louÿs,6/4,-6,https://musescore.com/score/5079450
"Debussy, Claude",Trois Chansons de Bilitis,3 Le Tombeau des Naïades,N,Pierre Louÿs,4/4,3,https://musescore.com/score/5079459
"Delius, Frederick",4 Old English Lyrics,1 It was a Lover and His Lass,N,William Shakespeare,4/4,0,https://musescore.com/score/6230256
"Delius, Frederick",4 Old English Lyrics,"2 So White, so Soft, so Sweet is She",N,Ben Jonson,6/4,0,https://musescore.com/score/6230258
"Elgar, Edward","2 Songs, Op.60",1 The Torch,N,Pietro d'Alba and Edward Elgar - Pietro d'Alba (Peter Rabbit) is probably a pseudonym for Elgar.,4/4,-1,https://musescore.com/score/6233544
"Elgar, Edward","2 Songs, Op.60",2 The River,N,Pietro d'Alba and Edward Elgar - Pietro d'Alba (Peter Rabbit) is probably a pseudonym for Elgar.,2/2,-2,https://musescore.com/score/6233545
"Elgar, Edward",7 Lieder,1 Like to the Damask Rose,N,Simon Wastell,4/4,-2,https://musescore.com/score/6236149
"Elgar, Edward",7 Lieder,2 Queen Mary’s Song,N,Alfred Tennyson,6/8,1,https://musescore.com/score/6236150
"Elgar, Edward",7 Lieder,3 A Song of Autumn,N,Adam Lindsay Gordon,4/4,-3,https://musescore.com/score/6236151
"Elgar, Edward",7 Lieder,4 The Poet’s Life,N,Sophie Jewett (as Ellen Burroughs),4/4,-3,https://musescore.com/score/6236152
"Elgar, Edward",7 Lieder,5 Through the Long Days,N,John Milton Hay,3/8,-4,https://musescore.com/score/6236153
"Elgar, Edward",7 Lieder,6 Rondel,N,Henry Wadsworth Longfellow (after Jean Froissart),2/4,-4,https://musescore.com/score/6236154
"Elgar, Edward",7 Lieder,7 The Shepherd’s Song,N,Barry Pain,4/4,-3,https://musescore.com/score/6236155
"Faisst, Clara Mathilda","2 Lieder, Op.8",1 Die Insel der Vergessenheit,N,Anna Ritter,4/4,-1,https://musescore.com/score/6164267
"Faisst, Clara Mathilda","2 Lieder, Op.8",2 Das mitleidige Mädel,N,Gustav Falke,3/8,-2,https://musescore.com/score/6164292
"Faisst, Clara Mathilda","4 Lieder, Op.1",2 Niederländisches Wiegenlied,N,Oscar Ludwig Bernhard Wolff,6/8,2,https://musescore.com/score/6260377
"Faisst, Clara Mathilda","4 Lieder, Op.1",3 Viel tausend Blümlein auf der Au’,N,Albert Traeger,4/4,0,https://musescore.com/score/6260378
"Faisst, Clara Mathilda","4 Lieder, Op.1",4 Ingeborgs-Lied aus dem fliegenden Holländer,N,Julius Wolff,2/4,-4,https://musescore.com/score/6260379
"Faisst, Clara Mathilda","4 Lieder, Op. 11",1 Wanderlied,N,Max Geissler,2/4,2,https://musescore.com/score/6258870
"Faisst, Clara Mathilda","4 Lieder, Op. 11",2 Riport a me (Piemontesisches Lied),N,Max Geissler,3/4,1,https://musescore.com/score/6258930
"Faisst, Clara Mathilda","4 Lieder, Op. 11",3 Die innere Stadt,N,Friedrich Lienhard,4/4,-3,https://musescore.com/score/6259106
"Faisst, Clara Mathilda","4 Lieder, Op. 11","4 Dulde, gedulde dich fein",N,Paul Heyse,9/8,-3,https://musescore.com/score/6259403
"Faisst, Clara Mathilda","5 Lieder, Op.3",5 In der Mondnacht,N,Anna Ritter,6/8,4,https://musescore.com/score/6260168
"Faisst, Clara Mathilda","5 Lieder, Op.4",1 Liebeslied,N,Mihai Eminescu (original Romanian text),9/8,-4,https://musescore.com/score/6179246
"Faisst, Clara Mathilda","5 Lieder, Op.4",2 Auf den grünen Auen,N,Emanuel Geibel,9/8,4,https://musescore.com/score/6179275
"Faisst, Clara Mathilda","5 Lieder, Op.4",3 Ich ging im Walde den alten Steig,N,Karl Stieler,3/4,1,https://musescore.com/score/6179292
"Faisst, Clara Mathilda","5 Lieder, Op.4",4 Lied,N,Julius Sturm,3/4,-3,https://musescore.com/score/6179305
"Faisst, Clara Mathilda","5 Lieder, Op.4",5 Lied aus Bosnien,N,Muhamed Hevaji Uskufi Bosnevi (original Bosnian text),2/4,0,https://musescore.com/score/6179338
"Faisst, Clara Mathilda","5 Lieder, Op.6","1 Ich glaub’, lieber Schatz",N,Anna Ritter,6/8,3,https://musescore.com/score/6259566
"Faisst, Clara Mathilda","5 Lieder, Op.6",2 Hast nicht ein einzig Mal zurückgeschaut,N,Anna Ritter,2/4,3,https://musescore.com/score/6259568
"Faisst, Clara Mathilda","5 Lieder, Op.6",4 Jugend,N,Anna Ritter,3/4,-1,https://musescore.com/score/6259569
"Fauré, Gabriel","4 Songs, Op.51",1 Larmes,N,Jean Richepin,3/4,-3,https://musescore.com/score/6135958
"Fauré, Gabriel","4 Songs, Op.51",2 Au cimetière,N,Jean Richepin,3/4,-1,https://musescore.com/score/6137985
"Fauré, Gabriel","4 Songs, Op.51",3 Spleen,N,Poésie de Paul Verlaine,3/4,1,https://musescore.com/score/6141092
"Fauré, Gabriel","4 Songs, Op.51",4 La rose,N,Leconte de Lisle,3/4,-1,https://musescore.com/score/6138105
"Fauré, Gabriel","Cinq Mélodies, Op.58",1 Mandoline,N,Paul Verlaine,4/4,1,https://musescore.com/score/5598547
"Fauré, Gabriel","Cinq Mélodies, Op.58",2 En sourdine,N,Paul Verlaine,4/4,-3,https://musescore.com/score/5626070
"Fauré, Gabriel","Cinq Mélodies, Op.58",3 Green,N,"Verlaine, Paul",3/4,-6,https://musescore.com/score/5627879
"Fauré, Gabriel","Cinq Mélodies, Op.58",4 A Clymène,N,Paul Verlaine,9/8,-1,https://musescore.com/score/5612951
"Fauré, Gabriel","Cinq Mélodies, Op.58",5 C’est l’extase,N,Paul Verlaine,3/4,-5,https://musescore.com/score/5605080
"Franz, Robert","12 Gesänge, Op.1",01 Ihr Auge,N,Robert Burns,2/4,3,https://musescore.com/score/5660573
"Franz, Robert","12 Gesänge, Op.1",02 Nachtlied,N,Ida Hahn-Hahn,4/4,-5,https://musescore.com/score/5660578
"Franz, Robert","12 Gesänge, Op.1",03 Die Lotosblume,N,Emanuel Geibel,2/4,-2,https://musescore.com/score/5660581
"Franz, Robert","12 Gesänge, Op.1",04 Nun holt mir eine Kanne Wein,N,Robert Burns,3/4,-2,https://musescore.com/score/5798936
"Franz, Robert","12 Gesänge, Op.1",05 O säh ich auf der Haide dort,N,Robert Burns,4/4,-3,https://musescore.com/score/5660558
"Franz, Robert","12 Gesänge, Op.1",06 Tanzlied im Mai,N,August Heinrich Hoffmann von Fallersleben,3/8,-1,https://musescore.com/score/5667967
"Franz, Robert","12 Gesänge, Op.1",07 Sonntag,N,Joseph von Eichendorff,6/4,-3,https://musescore.com/score/5799023
"Franz, Robert","12 Gesänge, Op.1",08 Für Einen,N,Robert Burns,6/8,0,https://musescore.com/score/5800427
"Franz, Robert","12 Gesänge, Op.1",09 Jagdlied,N,Joseph von Eichendorff,6/8,5,https://musescore.com/score/5800627
"Franz, Robert","12 Gesänge, Op.1",10 Schlummerlied,N,Johann Ludwig Tieck,6/8,5,https://musescore.com/score/5801742
"Franz, Robert","12 Gesänge, Op.1","11 Vöglein, wohin so schnell",N,Emanuel Geibel,3/4,-4,https://musescore.com/score/5801791
"Franz, Robert","12 Gesänge, Op.1",12 In meinem Garten die Nelken,N,Emanuel Geibel,6/8,-2,https://musescore.com/score/5801830
"Franz, Robert","6 Gesänge, Op.14",1 Widmung,N,Wolfgang Müller von Königswinter,2/4,-1,https://musescore.com/score/5117906
"Franz, Robert","6 Gesänge, Op.14",2 Lenz,N,Nikolaus Lenau,6/16,-2,https://musescore.com/score/5117956
"Franz, Robert","6 Gesänge, Op.14",3 Waldfahrt,N,Theodor Körner,3/8,4,https://musescore.com/score/5118339
"Franz, Robert","6 Gesänge, Op.14",4 Volkslied,N,(Folksong),2/4,-3,https://musescore.com/score/5118411
"Franz, Robert","6 Gesänge, Op.14",5 Liebesfrühling,YES,Nicholaus Lenau,2/4,2,https://musescore.com/score/4976682
"Franz, Robert","6 Gesänge, Op.14",6 Frage nicht,N,Nikolaus Lenau,3/4,0,https://musescore.com/score/5118522
"Franz, Robert","6 Gesänge, Op.16",1 Du liebes Auge,N,Otto Roquette,4/4,5,https://musescore.com/score/4928153
"Franz, Robert","6 Gesänge, Op.26","2 Lieber Schatz, sei wieder gut",N,Wilhelm Osterwald,3/4,-2,https://musescore.com/score/4976646
"Franz, Robert","6 Gesänge, Op.6",1 Wasserfahrt,N,August Heinrich Hoffman von Fallersleben,3/8,6,https://musescore.com/score/5644083
"Franz, Robert","6 Gesänge, Op.6",2 Wie des Mondes Abbild,N,Heinrich Heine,4/4,-5,https://musescore.com/score/5644080
"Franz, Robert","6 Gesänge, Op.6",3 Auf dem Meere,N,Heinrich Heine,2/4,-2,https://musescore.com/score/5644074
"Franz, Robert","6 Gesänge, Op.6",4 Die Liebe hat gelogen!,N,Wilhelm Osterwald,4/4,-5,https://musescore.com/score/4976604
"Franz, Robert","6 Gesänge, Op.6",5 Der Schnee ist zergangen,N,Wilhelm Osterwald,6/8,4,https://musescore.com/score/5644072
"Franz, Robert","6 Gesänge, Op.6",6 Tränen,N,Adelbert von Chamisso,2/4,-6,https://musescore.com/score/5828468
"German, Edward",3 Spring Songs,2 The Dew Upon the Lily,N,Harold Boulton,3/4,3,https://musescore.com/score/6243838
"Gounod, Charles",6 Mélodies,1 Le Premier Jour de Mai,N,Jean Passerat,2/4,3,https://musescore.com/score/5079368
"Gounod, Charles",6 Mélodies,2 O Ma Belle Rebelle!,N,Jean-Antoine de Baïf,2/4,-2,https://musescore.com/score/5079373
"Gounod, Charles",6 Mélodies,3 Aubade,N,Victor Hugo,3/4,-1,https://musescore.com/score/5079378
"Gounod, Charles",6 Mélodies,4 Chant d’automne,N,Anonymous,3/4,4,https://musescore.com/score/5079391
"Gounod, Charles",6 Mélodies,5 Le lever,N,Alfred de Musset,6/8,-1,https://musescore.com/score/5163799
"Gounod, Charles",6 Mélodies,6 Venise,N,Alfred de Musset,6/8,-2,https://musescore.com/score/5079394
"Grandval, Clémence de", ,Le bohémien,N,Michel Carré (1821-1872),4/4,1,https://musescore.com/score/6239101
"Greger, Luise","3 Lieder, Opp.122-124",1 Dein,N,Frieda Jung,4/4,-1,https://musescore.com/score/6173951
"Greger, Luise","3 Lieder, Opp.122-124","2 O, geh nicht vorüber",N,Frieda Jung,4/8,-3,https://musescore.com/score/6174024
"Greger, Luise","3 Lieder, Opp.122-124",3 Ihr Gärtchen,N,Frieda Jung,4/4,-1,https://musescore.com/score/6174661
"Greger, Luise","Lieder, Op.125",1 Auf den Schwingen der Nacht,N,Gottfried Hertel,6/4,-5,https://musescore.com/score/6171447
"Greger, Luise","Lieder, Op.125",2 Es duften süss die Linden,N,Gottfried Hertel,3/4,-4,https://musescore.com/score/6171433
"Greger, Luise","Plattdeutsche Lieder, Opp.32-34","1 Kumm mit, Op.32",N,Alwine Wuthenow,3/4,-1,https://musescore.com/score/6267934
"Greger, Luise","Plattdeutsche Lieder, Opp.32-34","2 Min Schatz is en Jäger, Op.33",N,Alwine Wuthenow,3/8,3,https://musescore.com/score/6267935
"Greger, Luise","Plattdeutsche Lieder, Opp.32-34","3 Still, keiner darw dat weiten! Op.34",N,Alwine Wuthenow,4/4,-1,https://musescore.com/score/6267936
"Greger, Luise", ,Liebeslied,N,"Unknown, possibly the composer?",2/4,4,https://musescore.com/score/6176486
"Gurney, Ivor",5 Elizabethan Songs,1 Orpheus,N,William Shakespeare,2/4,4,https://musescore.com/score/6170065
"Gurney, Ivor",5 Elizabethan Songs,2 Tears,N,John Fletcher,3/4,4,https://musescore.com/score/6154108
"Gurney, Ivor",5 Elizabethan Songs,3 Under the Greenwood Tree,N,William Shakespeare,2/4,0,https://musescore.com/score/6157283
"Gurney, Ivor",5 Elizabethan Songs,4 Sleep,N,John Fletcher,3/8,-2,https://musescore.com/score/6160387
"Gurney, Ivor",5 Elizabethan Songs,5 Spring,N,Thomas Nashe,2/4,4,https://musescore.com/score/6164234
"Hensel, Fanny (Mendelssohn)",3 Lieder,1 Sehnsucht,N,Johann Gustav Droysen,4/4,2,https://musescore.com/score/6012947
"Hensel, Fanny (Mendelssohn)",3 Lieder,2 Verlust,N,Heinrich Heine,4/4,-1,https://musescore.com/score/6013106
"Hensel, Fanny (Mendelssohn)",3 Lieder,3 Die Nonne,N,Ludwig Uhland,3/8,0,https://musescore.com/score/6013171
"Hensel, Fanny (Mendelssohn)",3 Songs,1 Das Heimweh,N,Friederike Robert,4/4,-1,https://musescore.com/score/6022316
"Hensel, Fanny (Mendelssohn)",3 Songs,2 Italien,N,Franz Grillparzer,6/8,1,https://musescore.com/score/6022185
"Hensel, Fanny (Mendelssohn)",3 Songs,3 Suleika und Hatem,N,Johann Wolfgang von Goethe,9/8,4,https://musescore.com/score/6022146
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",1 Nach Süden,YES,[Missing entry],12/8,4,https://musescore.com/score/5000467
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",2 Vorwurf,YES,Nikolaus Lenau,4/4,5,https://musescore.com/score/5000464
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",3 Abendbild,YES,Nikolaus Lenau,6/8,-3,https://musescore.com/score/4919798
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",4 Im Herbste,YES,Emanuel Geibel,4/4,-2,https://musescore.com/score/5000459
"Hensel, Fanny (Mendelssohn)","5 Lieder, Op.10",5 Bergeslust,YES,Joseph von Eichendorff,6/8,3,https://musescore.com/score/5000446
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",1 Schwanenlied,YES,Heinrich Heine,6/8,-2,https://musescore.com/score/5100543
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",2 Wanderlied,YES,Johann Wolfgang von Goethe,4/8,2,https://musescore.com/score/5004632
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",3 Warum sind denn die Rosen so blass,YES,Heinrich Heine,6/8,0,https://musescore.com/score/5004640
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",4 Mayenlied,YES,Joseph von Eichendorff,3/4,1,https://musescore.com/score/5101299
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",5 Morgenständchen,YES,Joseph Freiherr von Eichendorff,4/4,4,https://musescore.com/score/5004650
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.1",6 Gondellied,YES,Emanuel von Geibel,6/8,3,https://musescore.com/score/5101361
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.7",1 Nachtwanderer,N,Joseph Freiherr von Eichendorff,9/8,-1,https://musescore.com/score/5987757
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.7",2 Erwin,N,Johann Wolfgang von Goethe,4/4,-2,https://musescore.com/score/5987806
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.7",3 Frühling,N,Joseph Freiherr von Eichendorff,2/4,6,https://musescore.com/score/5987851
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.7",4 Du bist die Ruh,N,Friedrich Rückert,4/4,5,https://musescore.com/score/5987937
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.7",5 Bitte,N,Nikolaus Lenau,6/8,-4,https://musescore.com/score/5987963
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.7",6 Dein ist mein Herz,N,Nikolaus Lenau,4/4,7,https://musescore.com/score/5987993
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",1 Die Ersehnte,YES,Ludwig Christoph Heinrich Hölty,12/8,-3,https://musescore.com/score/4986023
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",2 Ferne,YES,Johann Ludwig Tieck,3/4,-2,https://musescore.com/score/5103883
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",3 Der Rosenkranz,YES,Johann Heinrich Voss,6/8,4,https://musescore.com/score/5108166
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",4 Die frühen Gräber,YES,Friedrich Gottlieb Klopstock,4/4,-4,https://musescore.com/score/4986026
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",5 Der Maiabend,YES,Johann Heinrich Voss,9/8,-4,https://musescore.com/score/5103913
"Hensel, Fanny (Mendelssohn)","6 Lieder, Op.9",6 Die Mainacht,YES,Ludwig Christoph Heinrich Hölty,6/4,-3,https://musescore.com/score/4986030
"Hensel, Fanny (Mendelssohn)","Gartenlieder, Op.3",1 Hörst du nicht die Bäume rauschen,N,Joseph von Eichendorff,4/4,5,https://musescore.com/score/6022950
"Hensel, Fanny (Mendelssohn)","Gartenlieder, Op.3",2 Schöne Fremde,N,Joseph von Eichendorff,6/8,1,https://musescore.com/score/6023075
"Hensel, Fanny (Mendelssohn)","Gartenlieder, Op.3",3 Im Herbste,N,Ludwig Uhland,9/8,3,https://musescore.com/score/6024601
"Hensel, Fanny (Mendelssohn)","Gartenlieder, Op.3",4 Morgengruss,N,Wilhelm Hensel,6/8,2,https://musescore.com/score/6034442
"Hensel, Fanny (Mendelssohn)","Gartenlieder, Op.3",5 Abendlich schon rauscht der Wald,N,Joseph von Eichendorff,4/4,0,https://musescore.com/score/6034473
"Hensel, Fanny (Mendelssohn)","Gartenlieder, Op.3",6 Im Wald,N,Emanuel Geibel,4/4,3,https://musescore.com/score/6034767
"Holmès, Augusta Mary Anne",20 Mélodies,01 Chanson lointaine,N,Augusta Holmès,3/4,-4,https://musescore.com/score/5001716
"Holmès, Augusta Mary Anne",20 Mélodies,02 Aubade-Habanera,N,Augusta Holmès,2/2,0,https://musescore.com/score/5837552
"Holmès, Augusta Mary Anne",20 Mélodies,03 La barque des amours,N,Unknown,6/8,-3,https://musescore.com/score/5911190
"Holmès, Augusta Mary Anne",20 Mélodies,04 En chemin,N,(Holmès),4/4,-1,https://musescore.com/score/5855050
"Holmès, Augusta Mary Anne",20 Mélodies,05 C’est un oiseau du bois sauvage,N,(Holmès),3/4,2,https://musescore.com/score/5001721
"Holmès, Augusta Mary Anne",20 Mélodies,06 Chanson persane,N,"(Holmès, d'après Hafiz)",3/4,2,https://musescore.com/score/5862368
"Holmès, Augusta Mary Anne",20 Mélodies,07 Noël d’Irlande,N,Augusta Mary Anne Holmès,3/4,-1,https://musescore.com/score/5719467
"Holmès, Augusta Mary Anne",20 Mélodies,08 L’éternelle idole,N,(Composer),3/4,2,https://musescore.com/score/5818033
"Holmès, Augusta Mary Anne",20 Mélodies,09 Garci Perez,N,(Holmès),3/8,0,https://musescore.com/score/5866060
"Holmès, Augusta Mary Anne",20 Mélodies,10 Hymne à Vénus,N,"Holmès, Augusta",6/8,4,https://musescore.com/score/5873379
"Holmès, Augusta Mary Anne",20 Mélodies,"11 La guerrière, ballade héroïque",N,(Holmès),4/4,2,https://musescore.com/score/5988117
"Holmès, Augusta Mary Anne",20 Mélodies,12 Évocation d’amour,N,Augusta Holmès,3/8,1,https://musescore.com/score/5987893
"Holmès, Augusta Mary Anne",20 Mélodies,13 Hymne au Soleil,N,Augusta Holmès,3/4,-3,https://musescore.com/score/5986599
"Holmès, Augusta Mary Anne",20 Mélodies,"14 Les lavandières, chanson populaire",N,[Missing entry],6/8,-3,https://musescore.com/score/5986563
"Holmès, Augusta Mary Anne",20 Mélodies,15 Pareil à la mer profonde,N,[Missing entry],4/4,-4,https://musescore.com/score/5986508
"Holmès, Augusta Mary Anne",20 Mélodies,16 La princesse sans cœur,N,[Missing entry],4/4,5,https://musescore.com/score/5986322
"Holmès, Augusta Mary Anne",20 Mélodies,17 Rêverie,N,[Missing entry],4/4,-1,https://musescore.com/score/5986085
"Holmès, Augusta Mary Anne",20 Mélodies,18 Toujours elle!,N,[Missing entry],2/4,5,https://musescore.com/score/5991526
"Holmès, Augusta Mary Anne",20 Mélodies,19 Coucher de soleil,N,[Missing entry],4/4,4,https://musescore.com/score/5991686
"Holmès, Augusta Mary Anne",20 Mélodies,20 Le fil des cœurs,N,(Composer),3/4,-4,https://musescore.com/score/6147489
"Holmès, Augusta Mary Anne",Contes divins,1 L’aubépine de Saint Patrick,N,(Holmès),4/4,-1,https://musescore.com/score/5903060
"Holmès, Augusta Mary Anne",Contes divins,2 Les lys bleus,N,(Holmès),4/4,3,https://musescore.com/score/5904752
"Holmès, Augusta Mary Anne",Contes divins,3 Le chemin du ciel,N,(Holmès),4/4,4,https://musescore.com/score/5904897
"Holmès, Augusta Mary Anne",Contes divins,4 La Belle Madeleine,N,(Holmès),6/8,1,https://musescore.com/score/5925129
"Holmès, Augusta Mary Anne",Contes divins,5 La légende de Saint Amour,N,(Holmès),2/4,2,https://musescore.com/score/5905678
"Holmès, Augusta Mary Anne",Contes divins,6 Les moutons des anges,N,(Holmès),4/4,6,https://musescore.com/score/5905808
"Holmès, Augusta Mary Anne",Les Heures,1 L’Heure Rose,N,Augusta Mary Anne Holmès,6/8,2,https://musescore.com/score/5712131
"Holmès, Augusta Mary Anne",Les Heures,2 L’Heure d’Or,N,(Holmès),4/4,1,https://musescore.com/score/5712146
"Holmès, Augusta Mary Anne",Les Heures,3 L’Heure de Pourpre,N,Augusta Mary Anne Holmès,3/4,1,https://musescore.com/score/5712149
"Holmès, Augusta Mary Anne",Les Heures,4 L’Heure d’Azur,YES,Anonymous,3/4,5,https://musescore.com/score/5001674
"Holmès, Augusta Mary Anne",Les Sept Ivresses,1 L’Amour,N,Augusta Mary Anne Holmès,3/4,1,https://musescore.com/score/5646201
"Holmès, Augusta Mary Anne",Les Sept Ivresses,2 Le Vin,N,Augusta Mary Anne Holmès,2/2,0,https://musescore.com/score/5647683
"Holmès, Augusta Mary Anne",Les Sept Ivresses,3 La Gloire,N,(Composer),4/4,0,https://musescore.com/score/5674506
"Holmès, Augusta Mary Anne",Les Sept Ivresses,4 La Haine,N,Augusta Mary Anne Holmès,4/4,-1,https://musescore.com/score/5001648
"Holmès, Augusta Mary Anne",Les Sept Ivresses,5 Le Rêve,N,idem,9/8,5,https://musescore.com/score/5696993
"Holmès, Augusta Mary Anne",Les Sept Ivresses,6 Le Désir,N,[Composer],4/4,-6,https://musescore.com/score/5661740
"Holmès, Augusta Mary Anne",Les Sept Ivresses,7 L’Or,N,idem,4/4,0,https://musescore.com/score/5879039
"Holmès, Augusta Mary Anne",Les Sérénades,1 Sérénade printanière,N,Augusta Holmès,3/4,5,https://musescore.com/score/5001684
"Holmès, Augusta Mary Anne",Les Sérénades,2 Sérénade d’été,N,(Holmès),3/4,-4,https://musescore.com/score/5669853
"Holmès, Augusta Mary Anne",Les Sérénades,3 Sérénade d’automne,N,(Holmès),3/4,-3,https://musescore.com/score/5669857
"Holmès, Augusta Mary Anne",Les Sérénades,4 Sérénade d’hiver,N,(Holmès),3/4,-6,https://musescore.com/score/5669861
"Holmès, Augusta Mary Anne",Les Sérénades,5 Sérénade de toujours,N,(Holmès),3/4,2,https://musescore.com/score/5669865
"Holmès, Augusta Mary Anne",Mélodies pour piano et chant,01 Noël,N,Anonymous,4/4,-1,https://musescore.com/score/5001730
"Holmès, Augusta Mary Anne",Mélodies pour piano et chant,02 Le clairon fleuri,N,Augusta Holmès,4/4,-1,https://musescore.com/score/5989917
"Holmès, Augusta Mary Anne",Mélodies pour piano et chant,03 Les griffes d’or,N,Augusta Holmès,4/4,-2,https://musescore.com/score/5991189
"Holmès, Augusta Mary Anne",Mélodies pour piano et chant,04 Chanson des gars d’Irlande,N,Augusta Holmès,2/2,5,https://musescore.com/score/5989993
