jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
ireal-pro_1531.jams,Lua Soberana,Lins Ivan,Os Sucessos de Novelas e Séries por Ivan Lins,1,591.0,11/07/2013,c723ed30-bd6c-4095-ab62-b9e04d00748f,BRVLS9600578,69075370.0,https://www.deezer.com/track/69075370,https://music.youtube.com/watch?v=99fuLcGs4Uk,,
ireal-pro_395.jams,Don't Misunderstand,Parks Gordon,Shaft's Big Score! (Original Motion Picture Soundtrack),7,109.0,08/06/1972,88956c4a-6235-4abc-a47a-406dd2b80fd8,USNLR1800679,647287422.0,https://www.deezer.com/track/647287422,https://music.youtube.com/watch?v=A26SZ7d5SrM,,
ireal-pro_1959.jams,She,"Charles Aznavour (Aznavour, Kretzner)",I classici di Charles Aznavour,5,147.0,,98b1967a-89c4-45a1-8614-ca3c12f23ac0,,,,https://music.youtube.com/watch?v=e1uqfO2-oJA,,
ireal-pro_864.jams,Make Someone Happy,Styne Jule,What You'd Call a Dream,2,256.0,09/12/2019,719b056e-5c1a-4a9f-8670-f673fc1c7ba8,QZK6P1917084,1731118187.0,https://www.deezer.com/track/1731118187,https://music.youtube.com/watch?v=PJz60utO_mA,,
ireal-pro_123.jams,Alone Too Long,Schwartz Arthur,Northwind Calling,13,189.0,,2f5c49a4-5a2c-4d15-ba4a-0201b1c76b2b,,,,https://music.youtube.com/watch?v=RntaLfqXjvo,,
ireal-pro_637.jams,I'm A Fool To Want You,Herron-Sinatra-Wolf,Play The Beat of Jazz,17,356.0,18/09/2017,4f18efd1-0402-4e85-bb62-b4905a7c9b70,FR96X1794153,407112232.0,https://www.deezer.com/track/407112232,https://music.youtube.com/watch?v=wV9OcYhk4CU,,
ireal-pro_2023.jams,I'm Ready,Muddy Waters (Willie Dixon),Walkin' the Blues,13,184.0,03/12/2010,269307a6-4846-4122-83d5-d0fe3633ff55,FR6V80764265,7876376.0,https://www.deezer.com/track/7876376,https://music.youtube.com/watch?v=T_xpDbIaBnk,,
ireal-pro_782.jams,Last Night When We Were Young,Arlen Harold,Harold Arlen: That Old Arlen Magic,50,192.0,01/01/2012,a089b713-73e5-40c3-96ac-811076c0ca04,GBAJU1202304,123591182.0,https://www.deezer.com/track/123591182,https://music.youtube.com/watch?v=4a7WshyXgFk,,
ireal-pro_1816.jams,I Want To Hold Your Hand,"The Beatles (Lennon, McCartney)",The Beatles Bootleg Recordings 1963,28,139.0,,8b47d7d0-ecdf-40d2-85ae-3645f4a286c6,,,,https://music.youtube.com/watch?v=v1HDt1tknTc,,
ireal-pro_691.jams,In Walked Bud,Monk Thelonious,Underground,7,256.0,15/04/1968,87614a5b-12af-4209-8073-da39722120fa,USSM16801271,346066181.0,https://www.deezer.com/track/346066181,https://music.youtube.com/watch?v=glBvp8dQN6c,,
